#,Жанр,Назва книги,Автор,# Сторінок,# Тривалість аудіо доріжки
1,Духовні книги,Біблія,44 автори,1230,89.48
2,Духовні книги,Патріархи і пророки,Елет Вайт,755,29.23
3,Духовні книги,Пророки і царі,Елет Вайт,733,19.20
4,Духовні книги,Бажання віків,Елет Вайт,835,34.12
5,Духовні книги,Дії Апостолів,Елет Вайт,602,17.20
6,Духовні книги,Велика боротьба,Елет Вайт,678,23.23
7,Духовні книги,Християнська родина,Елет Вайт,550,20.53
8,Класичні книги,Колгосп тварин,Джордж Оруелл,360,3.18
9,Класичні книги,Війна і мир,Лев Толстой,1452,61.44
10,Класичні книги,Аліса в країні див,Льюіс Керролл,362,3.00
11,Класичні книги,Острів скарбів,Роберт Стівенсон,218,4.17
12,Класичні книги,Хрестний батько,Маріо Пьюзо,,15.52
13,Класичні книги,Граф Монте-Крісто,Александр Дюма,1136,55.39
14,Класичні книги,Пригоди Тома Сойєра,Марк Твен,320,6.05
15,Класичні книги,Віднесені вітром,Маргарет Мітчелл,1059,49.16
16,Класичні книги,Мартін Іден,Джек Лондон,352,14.07
17,Класичні книги,Гордість та упередження,Джейн Остін,448,16.46
18,Класичні книги,Старий і море,Ертест Хемінгуей,104,3.33
19,Класичні книги,Маленький Принц,Антуан де Сент-Екзюпері,67,2.10
20,Класичні книги,Відкинуті,Віктор Гюго,1200,75.23
21,Класичні книги,Пригоди Шерлока Холмса,Артур Конан Дойл,1300,72.00
22,Класичні книги,Навколо світу за 80 днів,Жуль Верн,264,8.37
23,Класичні книги,Сто років самотності,Габріель Гарсіа Маркес,416,17.20
24,Класичні книги,451° по Фаренгейту,Рей Бредбері,288,7.05
25,Класичні книги,Як здобувати друзів і впливати на людей,Дейл Карнегі,256,10.24
26,Бізнес книги,Фінансист,Теодор Драйзер,640,40.22
27,Бізнес книги,Капітал,Карл Маркс,1665,90.00
28,Бізнес книги,Мета,Еліягу Ґолдратт,420,10.10
29,Бізнес книги,Найбагатший чоловік в Вавилоні,Джордж Клейсон,136,4.22
30,Бізнес книги,7 звичок надзвичайно ефективних людей,Стівен Р. Кові,512,14.00
31,Бізнес книги,Чорний лебідь,Насім Ніколас Талеб,392,13.53
32,Бізнес книги,Більше ніж бізнес 2.0.,"	Джим Коллінз",416,5.43
33,Бізнес книги,Rework,Джейсон Фрайд,176,3.48
34,Бізнес книги,Скарга - це подарунок,Джанелл Барлоу / Чан Кім,280,7.21
35,Бізнес книги,Стратегія блакитного океану,Рене Моборн,257,6.33
36,Бізнес книги,Ніколи не їжте наодинці,Кіт Феррацці,352,0.00
37,Бізнес книги,Принцип 80/20,Річард Кох,400,10.00
38,Бізнес книги,Атлант розправив плечі,Айн Ренд,472,13.32
39,Біографічні книги,"Моє життя, мої досягнення - Генрі Форд",Генрі Форд,256,8.00
40,Біографічні книги,Взуття-Буття Історія Nike від засновника,Філ Найт,432,15.06
41,Біографічні книги,Огидна правда. Facebook,"Сесілія Кан, Шира Френкель",336,0.00
42,Біографічні книги,Стів Джобс і я: справжня історія Apple,Стів Возняк,296,10.27
43,Біографічні книги,Джек Велч. 10 секретів менеджера,Стюарт Крейнер,187,4.60
44,Біографічні книги,Netflix і культура інновацій,"Эрин Мейер, Рид Хастингс",352,0.00
45,Біографічні книги,Кар'єра менеджера Лі Якокка,"Ли Якокка, Сонни Клайнфилд",216,8.26
46,Біографічні книги,Стів Джобс,Айзексон Уолтер,608,22.32
47,Біографічні книги,Ілон Маск,Айзексон Уолтер,688,27.26
48,Біографічні книги,Леонардо да Вінчі,Айзексон Уолтер,488,21.46
49,Біографічні книги,Ейнштейн. Життя і всесвіт генія,Айзексон Уолтер,528,21.37
